연번, 구분,대여소ID,대여소번호,대여소명,거치대수,위도,경도
1040,송파구,ST-1072,1253,1253. 오금역 3번 출구 뒤,10,37.501652,127.128181
1041,송파구,ST-544,1215,1215. 올림픽공원역 1번출구 앞,15,37.516571,127.131538
1042,송파구,ST-903,1243,1243. 문정 법조단지7,20,37.484531,127.120163
1043,송파구,ST-1413,1282,1282. 송파소방서 맞은편(성내4교),10,37.499874,127.141479
1044,송파구,ST-738,1207,1207. 마천CU우방점 앞,10,37.499756,127.152504
1045,송파구,ST-541,1208,1208. 풍납현대아파트쉼터,20,37.529675,127.119789
1046,송파구,ST-900,1240,1240. 문정 법조단지4,10,37.480576,127.118568
1047,송파구,ST-1627,2604,2604. 삼표레미콘 앞,10,37.531311,127.111282
1048,송파구,ST-899,1239,1239. 문정 법조단지3,20,37.480843,127.118011
1049,송파구,ST-1409,1278,1278. 송파구청 교차로,10,37.515831,127.106796
1050,송파구,ST-1656,2605,2605. 복정역 1번 출구 앞,15,37.471298,127.12709
1051,송파구,ST-895,1227,1227. 거여역 8번출구 뒤,10,37.493126,127.143822
1052,송파구,ST-1586,1297,1297. 석촌호수교차로(동호 팔각정 앞),10,37.509201,127.104118
1053,송파구,ST-1717,2617,2617. 가락삼환아파트 앞,15,37.496181,127.138031
1054,송파구,ST-891,1210,1210. 롯데월드타워(잠실역2번출구 쪽),30,37.513126,127.10096
1055,송파구,ST-1582,1293,1293. 석촌호교차로 (스타벅스 앞),10,37.506561,127.096558
1056,송파구,ST-981,1250,1250.문정2동 주민센터,10,37.490047,127.110748
1057,송파구,ST-1579,1290,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,10,37.474659,127.137718
1058,송파구,ST-1086,1267,1267. 올림픽공원 남2문 앞,15,37.51424,127.12307
1059,송파구,ST-551,1233,1233. 잠실3거리(갤러리아팰리스),9,37.510509,127.093369
1060,송파구,ST-1083,1264,1264. 천호역 10번 출구 앞,8,37.538582,127.122803
1061,송파구,ST-908,1248,1248. 방이초등학교,20,37.513962,127.121674
1062,송파구,ST-549,1229,1229. 송파체육문화회관 앞,15,37.490688,127.143127
1063,송파구,ST-1419,1288,1288. 문정중교 사거리,15,37.487999,127.131088
1064,송파구,ST-1077,1258,1258. 가락미륭아파트 앞,10,37.493198,127.128998
1065,송파구,ST-546,1220,1220. 잠실본동주민센터뒤 잠실근린공원,15,37.505692,127.084038
1066,송파구,ST-905,1245,1245. 문정 법조단지9,10,37.479465,127.125328
1067,송파구,ST-1416,1285,1285. 위례별 유치원 뒤,15,37.47747,127.144592
1068,송파구,ST-1070,1251,1251. 석촌역 2번출구,10,37.505932,127.10775
1069,송파구,ST-740,1214,1214. 오금역 7번 출구 인근,10,37.502594,127.127647
1070,송파구,ST-543,1213,1213. 백토공원 앞,20,37.50766,127.132736
1071,송파구,ST-902,1242,1242. 문정 법조단지6,15,37.48209,127.119743
1072,양천구,ST-996,725,725. 양강중학교앞 교차로,15,37.524334,126.850548
1073,양천구,ST-1002,731,731. 서울시 도로환경관리센터,10,37.5299,126.876541
1074,양천구,ST-993,722,722. LG전자베스트샵 신정점 ,10,37.521435,126.857384
1075,양천구,ST-320,713,713. 양서중학교 옆,20,37.533047,126.829956
1076,양천구,ST-1501,760,760. 잣절보도육교 아래,10,37.506821,126.844299
