"구명","대여소ID","대여소번호","대여소명","대여소 주소","거치대수","위도","경도"
"강남구","ST-1186","2377","수서역 5번출구 뒤","서울특별시 강남구 수서동 724-4수서역 5번출구 뒤","10","37.486835","127.102753"
"강남구","ST-1245","2380","삼성동베이직하우스앞","서울특별시 강남구 봉은사로 456삼성동베이직하우스앞","15","37.511696","127.049347"
"강남구","ST-1246","2381","언주역 6번출구앞","서울특별시 강남구 논현로 566언주역 6번출구앞","8","37.506367","127.034523"
"강남구","ST-1247","2382","역삼동 sk뷰 501동앞","서울특별시 강남구 역삼로 315-1역삼동 sk뷰 501동 앞","11","37.501343","127.050468"
"강남구","ST-1248","2383","보금자리정원","서울특별시 강남구 헌릉로569길 39-6보금자리정원","10","37.466328","127.094887"
"강남구","ST-1364","2384","자곡사거리","서울특별시 강남구 밤고개로 206자곡사거리","10","37.476028","127.105942"
"강남구","ST-1365","2385","학동역","서울특별시 강남구 학동로 지하 180학동역","10","37.51395","127.030151"
"강남구","ST-1366","2386","sk 동우주유소 앞","서울특별시 강남구 봉은사로 지하 201sk 동우주유소 앞","10","37.509586","127.040909"
"강남구","ST-1407","2387","래미안강남힐즈 사거리","서울특별시 강남구 자곡로 101래미안강남힐즈 사거리","10","37.472454","127.096077"
"강남구","ST-1433","2388","강남구 도시관리공단","서울특별시 강남구 삼성로 628강남구 도시관리공단","10","37.516785","127.051613"
"강남구","ST-1559","2389","경기여자고등학교 후문 (삼성로3길 입구)","서울특별시 강남구 개포로 지하 420경기여자고등학교 후문 (삼성로3길 입구)","15","37.48616","127.067238"
"강남구","ST-1560","2390","구룡마을 입구 (래미안블레스티지 아파트)","서울특별시 강남구 양재대로 478구룡마을 입구 (래미안블레스티지 아파트)","10","37.479568","127.064774"
"강남구","ST-1561","2391","구룡마을 입구(개포1단지아파트)","서울특별시 강남구 양재대로 478구룡마을 입구(개포1단지아파트)","10","37.479328","127.064278"
"강남구","ST-1562","2392","구룡산 입구 (구룡산 서울둘레길 입구)","서울특별시 강남구 양재대로 379구룡산 입구 (구룡산 서울둘레길 입구)","15","37.474579","127.05545"
"강남구","ST-1563","2393","구룡사 앞 교차로 (보도육교)","서울특별시 강남구 논현로2길 6구룡사 앞 교차로 (보도육교)","10","37.472","127.051338"
"강남구","ST-1564","2394","래미안강남포레스트 입구 (보도육교)","서울특별시 강남구 언주로 21래미안강남포레스트 입구 (보도육교)","10","37.479092","127.055397"
"강남구","ST-1565","2395","개포1단지아파트 입구 (보도육교)","서울특별시 강남구 개포로 310개포1단지아파트 입구 (보도육교)","10","37.47929","127.055733"
"강남구","ST-1566","2396","영동3교 북단(우성캐릭터 앞 보도)","서울특별시 강남구 언주로 118영동3교 북단(우성캐릭터 앞 보도)","15","37.485741","127.051048"
"강남구","ST-1568","2398","더라움","서울특별시 강남구 언주로 564더라움","10","37.50811","127.039452"
"강남구","ST-1571","2401","밀알학교 입구 (삼성서울병원 입구)","서울특별시 강남구 일원로 90밀알학교 입구 (삼성서울병원 입구)","15","37.486561","127.082672"
"강남구","ST-1573","2403","공무원연금매점 교차로 (개포주공9단지 입구)","서울특별시 강남구 영동대로4길 10공무원연금매점 교차로 (개포주공9단지 입구)","15","37.48872","127.074539"
"강남구","ST-1574","2404","대모산입구역 4번 출구 앞","서울특별시 강남구 개포로 지하 522대모산입구역 4번 출구 앞","10","37.49181","127.073158"
"강남구","ST-1575","2405","청담공원앞 교차로","서울특별시 강남구 학동로 지하 346청담공원앞 교차로","20","37.518711","127.05085"
"강남구","ST-1576","2406","논현동 광명빌딩 앞","서울특별시 강남구 도산대로 138논현동 광명빌딩 앞","10","37.51757","127.023643"
"강남구","ST-1577","2407","역삼서초삼성 세무서 앞 (역삼빌딩 앞)","서울특별시 강남구 강남대로 지하 396역삼.서초.삼성 세무서 앞 (역삼빌딩 앞)","10","37.49847","127.030113"
"강남구","ST-1578","2408","강남한양수자인아파트","서울특별시 강남구 자곡로 260강남한양수자인아파트","14","37.477341","127.113274"
"강동구","ST-485","1001","광진교 남단 사거리(디지털프라자앞)","서울특별시 강동구 구천면로 171376 남단사거리","15","37.541805","127.124718"
"강동구","ST-486","1002","해공공원(천호동)","서울특별시 강동구 올림픽로 702265","10","37.545219","127.125916"
"강동구","ST-487","1003","해공도서관앞","서울특별시 강동구 올림픽로 702367","20","37.543915","127.125458"
"강동구","ST-488","1004","삼성광나루아파트 버스정류장","서울특별시 강동구 상암로3길 77암사동 534","10","37.553349","127.12886"
"강동구","ST-490","1006","롯데캐슬 115동앞","서울특별시 강동구 양재대로 1665명일동 304","15","37.55492","127.142799"
"강동구","ST-491","1007","암사동 선사유적지","서울특별시 강동구 올림픽로 875암사동 139-2","16","37.559063","127.130646"
"강동구","ST-492","1008","암사역 3번출구(국민은행앞)","서울특별시 강동구 올림픽로 지하 776암사동 555","10","37.549549","127.127151"
"강동구","ST-493","1009","천호역4번출구(현대백화점)","서울특별시 강동구 천호대로 지하 997성내동 62-1","20","37.538658","127.124214"
"강동구","ST-494","1010","강동세무서","서울특별시 강동구 천호대로 1139길동 467","20","37.534481","127.138344"
"강동구","ST-495","1011","LIGA 아파트 앞","서울특별시 강동구 천호대로 1120성내동 450-31","20","37.534771","127.135239"
"강동구","ST-496","1012","서울 상운차량","서울특별시 강동구 올림픽로 610성내동 93-34","15","37.536026","127.122726"
"강동구","ST-497","1013","강동구청역 1번 출입구","서울특별시 강동구 올림픽로 지하 5501번 출입구","15","37.530773","127.120926"
"강동구","ST-498","1014","강동구평생학습관앞","서울특별시 강동구 고덕로 295명일동 320-2","15","37.5508","127.142624"
"강동구","ST-499","1015","샛마을 근린공원","서울특별시 강동구 구천면로 431-2샛마을 근린공원","13","37.550079","127.146912"
"강동구","ST-500","1016","해뜨는 주유소옆 리엔파크 109동앞","서울특별시 강동구 상일로 152강일동 607-14","10","37.559399","127.171158"
"강동구","ST-501","1017","맥도날드(길동)","서울특별시 강동구 천호대로 1207맥도날드(길동)","20","37.535473","127.145172"
"강동구","ST-830","1018","둔촌 주공 GS 맞은편","서울특별시 강동구 양재대로 1330둔촌동 541-6","20","37.524681","127.135406"
"강동구","ST-502","1019","다성이즈빌아파트(호원대 대각선 맞은편)","서울특별시 강동구 성내로 91다성이즈빌아파트(호원대 대각선 맞은편)","10","37.526825","127.130028"
"강동구","ST-503","1020","강동경찰서","서울특별시 강동구 성내로 57강동경찰서","15","37.52829","127.126801"
"강동구","ST-504","1021","강일동 리슈빌 빌딩앞","서울특별시 강동구 아리수로 419강일동 306-7","15","37.564301","127.17395"
"강동구","ST-505","1022","길동 사거리(초소앞)","서울특별시 강동구 양재대로 1441성내동 379-41","20","37.533764","127.138031"
"강동구","ST-1040","1023","한국종합기술사옥 앞","서울특별시 강동구 상일동 504 상일동 삼성엔지니어링 앞","15","37.549999","127.17469"
"강동구","ST-1041","1024","강동구청 앞","서울특별시 성내동 546-3 강동구청 앞","10","37.529251","127.123108"
"강동구","ST-1042","1025","상일초등학교","서울특별시  상일동 440-3상일초등학교","10","37.546841","127.172516"
"강동구","ST-1043","1026","대명초교 입구 교차로","서울특별시 명일동 59대명초교 입구 교차로","14","37.546631","127.155884"
"강동구","ST-1044","1027","프라자 아파트 앞","서울특별시 길동 176-3프라자 아파트 앞","20","37.535999","127.147697"
"강동구","ST-1045","1028","포레스 주상복합 빌딩","서울특별시 성내동 119-2포레스 주상복합 빌딩","10","37.5331","127.12278"
"강동구","ST-1046","1029","롯데 시네마","서울특별시 성내동  44-1롯데 시네마","10","37.536541","127.125397"
"강동구","ST-1047","1030","미호 플랜트 앞","서울특별시 성내동 478미호 플랜트 앞","15","37.527061","127.12207"
"강동구","ST-1048","1031","암사동 CBIS","서울특별시 암사동 440-13암사동 CBIS","15","37.555851","127.129898"
"강동구","ST-1049","1032","선사고등학교","서울특별시 암사동 445선사고등학교","20","37.556728","127.136208"
"강동구","ST-1050","1033","고덕동 아남아파트","서울특별시 고덕동 673고덕동 아남아파트","10","37.557991","127.144707"
